Opis;delovni čas;longitude;latitude
Občina Brežice;dostopni 24 ur;15.5926788;45.903844
Zdravstveni dom Brežice;dostopni 24 ur;15.5941272;45.9079725
Lekarna Bizeljsko;dostopni 24 ur;15.692634;46.0131496
Mednarodni mejni prehod Obrežje;dostopni 24 ur;15.6934762;45.8461033
Vojašnica Cerklje ob Krki;dostopni 24 ur;15.5214125;45.886207
Osnovna šola Cerklje ob Krki;dostopni 24 ur;15.5227844;45.8846237
Osnovna šola Velika Dolina;dostopni 24 ur;15.6639504;45.8529337
Osnovna šola Maksa Pleteršnika Pišece;dostopni 24 ur;15.6473073;46.0032146
Gasilski dom Pirošica;dostopni 24 ur;15.524202;45.8768224
M.S.H. d.o.o.;dostopni 24 ur;15.6788823;45.8931184
Trgovina Hofer;dostopni 24 ur;15.5975229;45.9107719
Kodrič Boško;dostopni 24 ur;15.5103806;45.8920655
KS Krška vas;dostopni 24 ur;15.5708402;45.8912889
Osnovna šola Globoko;dostopni 24 ur;15.628202;45.9561436
Nekdanja Osnovna šola Kapele;dostopni 24 ur;15.677076;45.9300946
Gasilski dom Obrežje;dostopni 24 ur;15.6877803;45.8505406
Nekdanja osnovna šola Mrzlava vas oziroma Dom krajanov Mrzlava vas;dostopni 24 ur;15.5815039;45.877642
Prosvetni dom Artiče;dostopni 24 ur;15.5839493;45.9526049
Gasilski dom PGD Župelevec;dostopni 24 ur;15.685158;45.9598479
Terme Čatež;omejeno dostopni;15.6247473;45.8916062
Gimnazija Brežice;omejeno dostopni;15.5916864;45.9076123
Intermarket Brežice;omejeno dostopni;15.5957472;45.9176727
Upravna enota Brežice;omejeno dostopni;15.5927257;45.9043629
Splošna bolnišnica Brežice;omejeno dostopni;15.5946422;45.9088646
Ekonomska in trgovska šola Brežice;omejeno dostopni;15.6047246;45.9075675
Zavarovalnica Triglav d.d.;omejeno dostopni;15.5915791;45.9125765
TA Regulator d.o.o.;omejeno dostopni;15.5927029;45.915887
SŽ-Vleka in tehnika d.o.o.;omejeno dostopni;15.648002;45.9016976
Lekarna Trnje;omejeno dostopni;15.6013476;45.9047542
